square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,"[0.2, -0.1]",None,0,29,29,29,,,,,,,,,494.17008339997847,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.15406649999204,494.17008339997847,494.17008339997847,494.65326359999017,494.66987959999824,497.1533848999825,497.15359410000383,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
8,"[-0.2, -0.1]",None,0,30,30,30,,,,,,,,,497.1699491000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.15435470000375,497.1699491000036,497.1699491000036,497.65328800000134,497.6699000999797,500.1532615000033,500.153487899981,space,0,0.3029404999979306,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
12,"[0.64, -0.4]",None,0,31,31,31,,,,,,,,,500.1699539999827,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.15442350000376,500.1699539999827,500.1699539999827,500.65327169999364,500.6699559999979,503.1532324999862,503.15341369999805,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
9,"[0.2, -0.1]",None,0,32,32,32,,,,,,,,,503.1698703999864,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.15422480000416,503.1698703999864,503.1698703999864,503.6529856999987,503.66988529998343,506.15317799997865,506.1533886999823,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
11,"[-0.64, -0.4]",space,0,33,33,33,,,,,,,,,506.16973229998257,,,,,,,,,,,,,,,,,,,,,,,,,,,,506.154183799983,506.16973229998257,506.16973229998257,506.65294149998226,506.6696232999966,509.1530324999767,509.15321940000285,space,1,0.3336755000054836,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
7,"[0.3, 0]",None,0,34,34,34,,,,,,,,,509.1698240999831,,,,,,,,,,,,,,,,,,,,,,,,,,,,509.15412809999543,509.1698240999831,509.1698240999831,509.65295709998463,509.6695873999852,512.1530198999972,512.153241299995,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
11,"[-0.64, -0.4]",space,0,35,35,35,,,,,,,,,512.1697874999954,,,,,,,,,,,,,,,,,,,,,,,,,,,,512.1540686999797,512.1697874999954,512.1697874999954,512.6530378999887,512.6696401999798,515.1532124999794,515.1534206999931,space,1,0.38367929999367334,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
4,"[-0.2, 0.1]",None,0,36,36,36,,,,,,,,,515.1696517999808,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.154426699999,515.1696517999808,515.1696517999808,515.6529283999989,515.6695865999791,518.1529497999873,518.1531285999808,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
5,"[0.2, 0.1]",None,0,37,37,37,,,,,,,,,518.1696267999941,,,,,,,,,,,,,,,,,,,,,,,,,,,,518.1538385000022,518.1696267999941,518.1696267999941,518.6531255999871,518.6696423999965,521.1530291999807,521.15323299999,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
6,"[-0.3, 0]",None,0,38,38,38,,,,,,,,,521.1695506999968,,,,,,,,,,,,,,,,,,,,,,,,,,,,521.154059499997,521.1695506999968,521.1695506999968,521.6530648999906,521.669458599994,524.1528875999793,524.1530965999991,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback30,001,2023-12-15_13h21.04.144,untitled,2023.2.3,60.04776199356334,2023-12-15 14h00.34.977556 -0500,
