square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,target_square_0.stopped,fixation_0.started,fixation_0.stopped,response_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 104
9.0,"[0.2, -0.1]",None,0.0,29.0,29.0,29.0,,,,,,,,,124.72854730000108,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.71384570000372,124.72854730000108,124.72854730000108,125.228661000001,125.228661000001,127.72851160000572,127.72851160000572,127.7128245000058,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
8.0,"[-0.2, -0.1]",None,0.0,30.0,30.0,30.0,,,,,,,,,127.72851160000572,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.71358500000495,127.72851160000572,127.72851160000572,128.22824160000164,128.22824160000164,130.72859790000075,130.72859790000075,130.7128273999988,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
12.0,"[0.64, -0.4]",None,0.0,31.0,31.0,31.0,,,,,,,,,130.72859790000075,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.71352050000132,130.72859790000075,130.72859790000075,131.22836030000326,131.22836030000326,133.72845000000234,133.72845000000234,133.71275210000022,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
9.0,"[0.2, -0.1]",None,0.0,32.0,32.0,32.0,,,,,,,,,133.72845000000234,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.7134931000037,133.72845000000234,133.72845000000234,134.2283682999987,134.2283682999987,136.72854070000176,136.72854070000176,136.71247910000238,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
11.0,"[-0.64, -0.4]",space,0.0,33.0,33.0,33.0,,,,,,,,,136.72854070000176,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.71312860000037,136.72854070000176,136.72854070000176,137.22826410000562,137.22826410000562,139.72855040000286,139.72855040000286,139.7125384000028,space,1.0,0.4480011999985436,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
7.0,"[0.3, 0]",None,0.0,34.0,34.0,34.0,,,,,,,,,139.72855040000286,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.7133513000008,139.72855040000286,139.72855040000286,140.22826730000088,140.22826730000088,142.72843080000166,142.72843080000166,142.7126916000052,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
11.0,"[-0.64, -0.4]",space,0.0,35.0,35.0,35.0,,,,,,,,,142.72843080000166,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.7134772999998,142.72843080000166,142.72843080000166,143.22825550000562,143.22825550000562,145.72827320000215,145.72827320000215,145.71269490000122,space,1.0,0.4596321999997599,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
4.0,"[-0.2, 0.1]",None,0.0,36.0,36.0,36.0,,,,,,,,,145.72827320000215,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.7136554000026,145.72827320000215,145.72827320000215,146.22817439999926,146.22817439999926,148.7281396000035,148.7281396000035,148.71222259999922,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
5.0,"[0.2, 0.1]",None,0.0,37.0,37.0,37.0,,,,,,,,,148.7281396000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.71289429999888,148.7281396000035,148.7281396000035,149.2281535000002,149.2281535000002,151.72808140000416,151.72808140000416,151.71225060000145,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
6.0,"[-0.3, 0]",None,0.0,38.0,38.0,38.0,,,,,,,,,151.72808140000416,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.71294730000227,151.72808140000416,151.72808140000416,152.22790750000422,152.22790750000422,154.7280905000007,154.7280905000007,154.71240400000534,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback25,1.0,2023-12-13_18h22.37.815,untitled,2023.2.3,60.031973030312656,2023-12-13 19h04.52.040410 -0500,
