square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,fixation_1.started,target_square_1.stopped,fixation_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 100
9.0,"[0.2, -0.1]",None,0.0,32.0,32.0,32.0,,,,,,,,,115.20187079999596,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.1861324000056,115.20187079999596,115.20187079999596,115.68521989998408,115.7018658000161,118.18495959998108,118.18509990000166,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
11.0,"[-0.64, -0.4]",space,0.0,33.0,33.0,33.0,,,,,,,,,118.20165679999629,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.18563389999326,118.20165679999629,118.20165679999629,118.68507549999048,118.70175750000637,121.1850658999756,121.18521770002552,space,1.0,0.5314416000037454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
7.0,"[0.3, 0]",None,0.0,34.0,34.0,34.0,,,,,,,,,121.201800299983,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.1857866999926,121.201800299983,121.201800299983,121.68509629997423,121.70170600002166,124.18503390002296,124.18519699998431,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
11.0,"[-0.64, -0.4]",space,0.0,35.0,35.0,35.0,,,,,,,,,124.20168040000137,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.18564300000436,124.20168040000137,124.20168040000137,124.68483270000434,124.7016042000032,127.18490669998572,127.18497130001197,space,1.0,0.4622018000227399,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
4.0,"[-0.2, 0.1]",None,0.0,36.0,36.0,36.0,,,,,,,,,127.20172379998256,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.1855258999858,127.20172379998256,127.20172379998256,127.68500609998593,127.70166810002412,130.18488880002403,130.1850529999938,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
5.0,"[0.2, 0.1]",None,0.0,37.0,37.0,37.0,,,,,,,,,130.2016205000109,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.18549290002557,130.2016205000109,130.2016205000109,130.68489169998793,130.70143030001782,133.18479179998394,133.18493129999842,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
6.0,"[-0.3, 0]",None,0.0,38.0,38.0,38.0,,,,,,,,,133.20143439999083,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.18535039998824,133.20143439999083,133.20143439999083,133.68477360001998,133.70136319997255,136.18483600002946,136.18492079997668,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
11.0,"[-0.64, -0.4]",space,0.0,39.0,39.0,39.0,,,,,,,,,136.20150419999845,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.18523170001572,136.20150419999845,136.20150419999845,136.68495580001036,136.701475400012,139.18468200002098,139.18475810001837,space,1.0,0.4240595999872312,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.18505440000445,139.20153570000548,139.20153570000548,166.7183697000146,space,27.503402700007427,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
10.0,"[0, -0.2]",None,,,,,0.0,0.0,0.0,0.0,,,,,167.73619060002966,,,,,,,,,,,,,,,,,,,,,,,,166.71838889998617,166.73423120001098,167.73619060002966,167.7179508000263,,,,,,,,,,,,,,,,,,,167.73425899998983,167.73619060002966,167.73619060002966,168.21743690001313,168.2507854999858,170.71755950001534,170.73437790002208,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,nback40,1.0,2023-12-19_15h42.22.659,untitled,2023.2.3,60.16430872452993,2023-12-19 16h43.33.212400 -0500,
