square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,response_0.stopped,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
9,"[0.2, -0.1]",None,0,29,29,29,,,,,,,,,2091.0292039000196,,,,,,,,,,,,,,,,,,,,,,,,,,,,2091.0141903000185,2091.0292039000196,2091.0292039000196,2091.5290208000224,2091.5290208000224,2094.029153999989,2094.0135636000196,None,1,,,2094.029153999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
8,"[-0.2, -0.1]",None,0,30,30,30,,,,,,,,,2094.029153999989,,,,,,,,,,,,,,,,,,,,,,,,,,,,2094.014388300013,2094.029153999989,2094.029153999989,2094.528984100034,2094.528984100034,2097.029026300006,2097.0131330000004,None,1,,,2097.029026300006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
12,"[0.64, -0.4]",None,0,31,31,31,,,,,,,,,2097.029026300006,,,,,,,,,,,,,,,,,,,,,,,,,,,,2097.0137442999985,2097.029026300006,2097.029026300006,2097.5290738000185,2097.5290738000185,2100.028966300015,2100.013372800022,None,1,,,2100.028966300015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
9,"[0.2, -0.1]",None,0,32,32,32,,,,,,,,,2100.028966300015,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100.0140660000034,2100.028966300015,2100.028966300015,2100.5289009000408,2100.5289009000408,2103.0288872999954,2103.0130373000284,None,1,,,2103.0288872999954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
11,"[-0.64, -0.4]",space,0,33,33,33,,,,,,,,,2103.0288872999954,,,,,,,,,,,,,,,,,,,,,,,,,,,,2103.013649200031,2103.0288872999954,2103.0288872999954,2103.528996500012,2103.528996500012,2106.0288323000423,2106.013298200036,space,1,0.3846662999712862,None,2106.0288323000423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
7,"[0.3, 0]",None,0,34,34,34,,,,,,,,,2106.0288323000423,,,,,,,,,,,,,,,,,,,,,,,,,,,,2106.014283300028,2106.0288323000423,2106.0288323000423,2106.528962600045,2106.528962600045,2109.02895040001,2109.013167100027,None,1,,,2109.02895040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
11,"[-0.64, -0.4]",space,0,35,35,35,,,,,,,,,2109.02895040001,,,,,,,,,,,,,,,,,,,,,,,,,,,,2109.0138098000316,2109.02895040001,2109.02895040001,2109.528924400045,2109.528924400045,2112.0287885,2112.0127989000175,space,1,0.4522784000146203,None,2112.0287885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
4,"[-0.2, 0.1]",None,0,36,36,36,,,,,,,,,2112.0287885,,,,,,,,,,,,,,,,,,,,,,,,,,,,2112.013672500034,2112.0287885,2112.0287885,2112.5287763000233,2112.5287763000233,2115.0286899000057,2115.012989700015,None,1,,,2115.0286899000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
5,"[0.2, 0.1]",None,0,37,37,37,,,,,,,,,2115.0286899000057,,,,,,,,,,,,,,,,,,,,,,,,,,,,2115.0137228000094,2115.0286899000057,2115.0286899000057,2115.528733599989,2115.528733599989,2118.0286706000334,2118.012777500029,None,1,,,2118.0286706000334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
6,"[-0.3, 0]",None,0,38,38,38,,,,,,,,,2118.0286706000334,,,,,,,,,,,,,,,,,,,,,,,,,,,,2118.013493700011,2118.0286706000334,2118.0286706000334,2118.5286344999913,2118.5286344999913,2121.0286448000115,2121.0129882000037,None,1,,,2121.0286448000115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
11,"[-0.64, -0.4]",space,0,39,39,39,,,,,,,,,2121.0286448000115,,,,,,,,,,,,,,,,,,,,,,,,,,,,2121.013766499993,2121.0286448000115,2121.0286448000115,2121.5285282999976,2121.5285282999976,2124.0288419999997,2124.0127666000044,space,1,0.34283410001080483,None,2124.0288419999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2124.0133870000136,2124.0288419999997,2124.0288419999997,2143.779972899996,space,19.745184700004756,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
10,"[0, -0.2]",None,,,,,0,0,0,0,,,,,2144.794804300007,,,,,,,,,,,,,,,,,,,,,,,,2143.7800182999927,2143.7949223000323,2144.794804300007,2144.7789694000385,,,,,,,,,,,,,,,,,,,,2144.7890096000046,2144.794804300007,2144.794804300007,2145.294791100023,2145.294791100023,2147.794870999991,2147.794870999991,2147.779043700022,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,nback54,001,2024-01-15_16h53.27.255,untitled,2023.2.3,59.978143951533674,2024-01-15 17h14.40.591200 -0500,
