square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 103
9.0,"[0.2, -0.1]",None,0.0,29.0,29.0,29.0,,,,,,,,,1855.349698300008,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855.334172700066,1855.349698300008,1855.349698300008,1855.8332130000929,1855.8497699000875,1858.3329221999736,1858.3330749000888,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
8.0,"[-0.2, -0.1]",None,0.0,30.0,30.0,30.0,,,,,,,,,1858.349584300071,,,,,,,,,,,,,,,,,,,,,,,,,,,,1858.333679900039,1858.349584300071,1858.349584300071,1858.8329219999723,1858.8496969998812,1861.333135300083,1861.333349999972,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
12.0,"[0.64, -0.4]",None,0.0,31.0,31.0,31.0,,,,,,,,,1861.349793399917,,,,,,,,,,,,,,,,,,,,,,,,,,,,1861.3341765999796,1861.349793399917,1861.349793399917,1861.832847799873,1861.8495930999047,1864.3331422000192,1864.33336160006,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
9.0,"[0.2, -0.1]",None,0.0,32.0,32.0,32.0,,,,,,,,,1864.349677799968,,,,,,,,,,,,,,,,,,,,,,,,,,,,1864.3342178000603,1864.349677799968,1864.349677799968,1864.8328472999856,1864.8495827999432,1867.3328167998695,1867.3329980000851,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
11.0,"[-0.64, -0.4]",space,0.0,33.0,33.0,33.0,,,,,,,,,1867.3496340001,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867.3338389000853,1867.3496340001,1867.3496340001,1867.8329125000164,1867.8495894998775,1870.332895200001,1870.3330661000216,space,1.0,0.4188494000118226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
7.0,"[0.3, 0]",None,0.0,34.0,34.0,34.0,,,,,,,,,1870.3494370998812,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870.3338583000004,1870.3494370998812,1870.3494370998812,1870.8327685999684,1870.8493808999192,1873.332849599887,1873.3330411000643,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
11.0,"[-0.64, -0.4]",space,0.0,35.0,35.0,35.0,,,,,,,,,1873.3495732999872,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873.3337743000595,1873.3495732999872,1873.3495732999872,1873.8326338999905,1873.8492423999123,1876.332594400039,1876.3327522000764,space,1.0,0.500054799951613,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
4.0,"[-0.2, 0.1]",None,0.0,36.0,36.0,36.0,,,,,,,,,1876.349211199908,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876.333494399907,1876.349211199908,1876.349211199908,1876.8327820000704,1876.849314399995,1879.3327635999303,1879.3329517999664,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
5.0,"[0.2, 0.1]",None,0.0,37.0,37.0,37.0,,,,,,,,,1879.3493073999416,,,,,,,,,,,,,,,,,,,,,,,,,,,,1879.3336877000984,1879.3493073999416,1879.3493073999416,1879.832749699941,1879.8491340999024,1882.332391199889,1882.3324831000064,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
6.0,"[-0.3, 0]",None,0.0,38.0,38.0,38.0,,,,,,,,,1882.349042499904,,,,,,,,,,,,,,,,,,,,,,,,,,,,1882.3327903000168,1882.349042499904,1882.349042499904,1882.8328030998816,1882.8492145999332,1885.3326479999812,1885.3328424000647,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback76,1.0,2024-01-30_14h17.48.480,untitled,2023.2.3,59.9346831733353,2024-01-30 14h44.50.270545 -0500,
