square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,response_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,target_square_2.stopped,fixation_2.started,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
12,"[0.64, -0.4]",None,0,31,31,31,,,,,,,,,178.26992360001896,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.2552467000205,178.26992360001896,178.26992360001896,178.77007250010502,178.77007250010502,181.2699390000198,181.2699390000198,181.25394010008313,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
9,"[0.2, -0.1]",None,0,32,32,32,,,,,,,,,181.2699390000198,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.25442130002193,181.2699390000198,181.2699390000198,181.77001860004384,181.77001860004384,184.26981210010126,184.26981210010126,184.2539433001075,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
11,"[-0.64, -0.4]",space,0,33,33,33,,,,,,,,,184.26981210010126,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.2544563000556,184.26981210010126,184.26981210010126,184.76996080006938,184.76996080006938,187.26996120007243,187.26996120007243,187.25421630009077,space,1,0.3847253000130877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
7,"[0.3, 0]",None,0,34,34,34,,,,,,,,,187.26996120007243,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.25516810000408,187.26996120007243,187.26996120007243,187.77008899999782,187.77008899999782,190.2698019000236,190.2698019000236,190.25393330003135,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
11,"[-0.64, -0.4]",space,0,35,35,35,,,,,,,,,190.2698019000236,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.25461150007322,190.2698019000236,190.2698019000236,190.76988760009408,190.76988760009408,193.26987220009323,193.26987220009323,193.2540170000866,space,1,0.3945086000021547,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
4,"[-0.2, 0.1]",None,0,36,36,36,,,,,,,,,193.26987220009323,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.25498399999924,193.26987220009323,193.26987220009323,193.7697908000555,193.7697908000555,196.2697703000158,196.2697703000158,196.25380940001924,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
5,"[0.2, 0.1]",None,0,37,37,37,,,,,,,,,196.2697703000158,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.25434470002074,196.2697703000158,196.2697703000158,196.76968460006174,196.76968460006174,199.26978420000523,199.26978420000523,199.2540993000148,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
6,"[-0.3, 0]",None,0,38,38,38,,,,,,,,,199.26978420000523,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.2548933000071,199.26978420000523,199.26978420000523,199.7698151000077,199.7698151000077,202.26966910006013,202.26966910006013,202.25413020001724,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
11,"[-0.64, -0.4]",space,0,39,39,39,,,,,,,,,202.26966910006013,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.25492990005296,202.26966910006013,202.26966910006013,202.76965950010344,202.76965950010344,205.26975279999897,205.26975279999897,205.2536773000611,space,1,0.3424951999913901,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.25424870010465,205.26975279999897,205.26975279999897,225.92089040006977,space,20.64436769997701,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
10,"[0, -0.2]",None,,,,,0,0,0,0,,,,,226.93589190009516,,,,,,,,,,,,,,,,,,,,,,,,225.92093500006013,225.93592250009533,226.93589190009516,226.92027100000996,,,,,,,,,,,,,,,,,,,,226.92843280010857,226.93589190009516,226.93589190009516,227.43588570004795,227.43588570004795,229.9358637999976,229.9358637999976,229.9202246000059,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,nback3,001,2023-12-07_13h31.39.066,untitled,2023.2.3,60.13648578529025,2023-12-07 15h09.24.675244 -0500,
