square,location,corrAns,trials_0.thisRepN,trials_0.thisTrialN,trials_0.thisN,trials_0.thisIndex,trials_1.thisRepN,trials_1.thisTrialN,trials_1.thisN,trials_1.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Instructions.started,instructions.started,key_resp.started,inst_sq11.started,Instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,All.started,sq_1.started,sq_2.started,sq_3.started,sq_4.started,sq_5.started,sq_6.started,sq_7.started,sq_8.started,sq_9.started,sq_10.started,sq_11.started,sq_12.started,All.stopped,Fixation.started,fixation_3.started,fixation_3.stopped,Fixation.stopped,N_back_0_Trial.started,target_square_0.started,response_0.started,fixation_0.started,target_square_0.stopped,fixation_0.stopped,N_back_0_Trial.stopped,response_0.keys,response_0.corr,response_0.rt,response_0.duration,Instructions_1.started,instructions_1.started,key_resp_1.started,Instructions_1.stopped,key_resp_1.keys,key_resp_1.rt,key_resp_1.duration,N_back_1_Trial.started,target_square_1.started,response_1.started,target_square_1.stopped,fixation_1.started,fixation_1.stopped,response_1.stopped,N_back_1_Trial.stopped,response_1.keys,response_1.corr,response_1.rt,response_1.duration,Instructions_2.started,instructions_2.started,key_resp_2.started,Instructions_2.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,N_back_2_trials.started,target_square_2.started,response_2.started,fixation_2.started,target_square_2.stopped,fixation_2.stopped,response_2.stopped,N_back_2_trials.stopped,response_2.keys,response_2.corr,response_2.rt,response_2.duration,End.started,thank_you.started,thank_you.stopped,End.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,Unnamed: 103
9.0,"[0.2, -0.1]",None,0.0,29.0,29.0,29.0,,,,,,,,,2110.118557300011,,,,,,,,,,,,,,,,,,,,,,,,,,,,2110.102924400009,2110.118557300011,2110.118557300011,2110.6020321000105,2110.6187162000133,2113.10191930001,2113.102130600004,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
8.0,"[-0.2, -0.1]",None,0.0,30.0,30.0,30.0,,,,,,,,,2113.118514300004,,,,,,,,,,,,,,,,,,,,,,,,,,,,2113.102958100004,2113.118514300004,2113.118514300004,2113.60173580001,2113.618459400008,2116.1019239000016,2116.102134200002,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
12.0,"[0.64, -0.4]",None,0.0,31.0,31.0,31.0,,,,,,,,,2116.118700700012,,,,,,,,,,,,,,,,,,,,,,,,,,,,2116.1029680000065,2116.118700700012,2116.118700700012,2116.601922300004,2116.618650000004,2119.101723700005,2119.101884800009,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
9.0,"[0.2, -0.1]",None,0.0,32.0,32.0,32.0,,,,,,,,,2119.1184517000074,,,,,,,,,,,,,,,,,,,,,,,,,,,,2119.102573600001,2119.1184517000074,2119.1184517000074,2119.601806000006,2119.618503900012,2122.1018708000047,2122.102046900007,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
11.0,"[-0.64, -0.4]",space,0.0,33.0,33.0,33.0,,,,,,,,,2122.1184068,,,,,,,,,,,,,,,,,,,,,,,,,,,,2122.1027445000072,2122.1184068,2122.1184068,2122.6016272000124,2122.618316600012,2125.101811200002,2125.102016100005,space,1.0,0.4221720000059576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
7.0,"[0.3, 0]",None,0.0,34.0,34.0,34.0,,,,,,,,,2125.118518400006,,,,,,,,,,,,,,,,,,,,,,,,,,,,2125.1029964000045,2125.118518400006,2125.118518400006,2125.601687200004,2125.6185238000035,2128.1018428000098,2128.1020578000025,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
11.0,"[-0.64, -0.4]",space,0.0,35.0,35.0,35.0,,,,,,,,,2128.1184866000112,,,,,,,,,,,,,,,,,,,,,,,,,,,,2128.102905500011,2128.1184866000112,2128.1184866000112,2128.601601100003,2128.6182528000063,2131.1013986000034,2131.1015580000094,space,1.0,0.6153484000096796,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
4.0,"[-0.2, 0.1]",None,0.0,36.0,36.0,36.0,,,,,,,,,2131.1183983000083,,,,,,,,,,,,,,,,,,,,,,,,,,,,2131.1022819000063,2131.1183983000083,2131.1183983000083,2131.601490400004,2131.6181928000005,2134.101524700003,2134.101703799999,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
5.0,"[0.2, 0.1]",None,0.0,37.0,37.0,37.0,,,,,,,,,2134.118168700006,,,,,,,,,,,,,,,,,,,,,,,,,,,,2134.102408400009,2134.118168700006,2134.118168700006,2134.601526700004,2134.618290300001,2137.101588000005,2137.101759000012,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
6.0,"[-0.3, 0]",None,0.0,38.0,38.0,38.0,,,,,,,,,2137.1181054000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,2137.102460599999,2137.1181054000044,2137.1181054000044,2137.601505700004,2137.618111600008,2140.1016483999992,2140.1018364000047,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
11.0,"[-0.64, -0.4]",space,0.0,39.0,39.0,39.0,,,,,,,,,2140.118251300009,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140.1026327,2140.118251300009,2140.118251300009,2140.601414500008,2140.618096800012,2143.1014571000123,2143.101633700004,space,1.0,0.4921732999937376,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2143.102298900005,2143.1182657000027,2143.1182657000027,2155.936093700002,space,12.807538900000509,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nback48,1.0,2024-01-11_12h56.39.558,untitled,2023.2.3,59.96717396684593,2024-01-11 13h16.28.324850 -0500,
