participant_number,trial_number,subexperiment_number,MRTScore,MRTAcc,MRTGroup,nback_hits_0,nback_hit_rate_0,nback_correct_rejections_0,nback_rt_target_0,nback_rt_nontarget_0,nback_composite_0,nback_hits_1,nback_hit_rate_1,nback_correct_rejections_1,nback_rt_target_1,nback_rt_nontarget_1,nback_composite_1,nback_hits_2,nback_hit_rate_2,nback_correct_rejections_2,nback_rt_target_2,nback_rt_nontarget_2,nback_composite_2,rest_time,time_subexperiment,accuracy_subexperiment,accuracy_total,answer_correct_trial,answer_incorrect_trial,nback_hits_avg,nback_hit_rate_avg,nback_rt_target_avg,nback_rt_non_target_avg,nback_composite_avg,trial_duration,trial_duration_mean,performance_trial,feedback_score_tutorial_1,feedback_score_tutorial_2,feedback_score_tutorial_3,feedback_score_rest_1
3,24,5,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,75,78.125,0,1,8.666666667,100,473.2813433,,0.213490308,39.11,18.27975,1.917668116,4,1,7,1
3,25,6,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,75,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,12.65,18.27975,5.928853755,4,1,7,1
3,26,6,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,75,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,17.183,18.27975,4.364779142,4,1,7,1
3,27,6,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,75,78.125,0,1,8.666666667,100,473.2813433,,0.213490308,21.61,18.27975,3.470615456,4,1,7,1
3,28,6,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,75,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,22.479,18.27975,3.336447351,4,1,7,1
3,29,7,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,100,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,15.671,18.27975,6.381213707,4,1,7,1
3,30,7,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,100,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,21.593,18.27975,4.631130459,4,1,7,1
3,31,7,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,100,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,31.397,18.27975,3.185017677,4,1,7,1
3,32,7,0,0,Low,8,100,100,432.088925,,0.231433842,10,100,100,444.56208,,0.224940463,8,100,96.875,543.193025,2013.5157,0.18409662,300.0095,82.373,100,78.125,1,0,8.666666667,100,473.2813433,,0.213490308,13.712,18.27975,7.292882147,4,1,7,1
4,1,0,3,12.5,Low,8,100,100,404.7064375,,0.247092684,4,40,100,649.710275,,0.061565903,8,100,96.875,789.06155,1578.8971,0.126732826,300.0153,113.477,75,84.375,1,0,6.666666667,80,614.4927541,,0.145130471,36.6276,18.27975,2.047636209,5,1,7,4
