participant_number,tutorial_number,O2Hb_average_peak,O2Hb_highest_peak,O2Hb_lowest_peak,O2Hb_tutorial_difference_peak,O2Hb_auc
61,0,0.016812788545065092,0.19133425834948742,-0.16997456915051257,0.3613088275,0.16724262012156066
61,1,-0.022570235525846253,0.1322738295994874,-0.17885773540051259,0.311131565,-0.23019543628847533
61,2,0.006628415257284226,0.08794004834948742,-0.06994077577551258,0.15788082412499999,0.06805968006165576
62,0,-0.0018565405886471847,0.060006156326278565,-0.035340521298721436,0.095346677625,-0.017750593155288666
62,1,0.006596465151492709,0.05566412320127856,-0.05298203554872143,0.10864615875,0.0673800003154364
62,2,-0.0153081125214804,0.11028611020127856,-0.18189215854872143,0.29217826874999997,-0.15309799342371544
65,0,0.006269141199429341,0.05621935302944347,-0.10826636347055653,0.1644857165,0.04278077103578046
65,1,-0.007803845070577947,0.023289423904443468,-0.05210874859555654,0.0753981725,-0.07847425587803071
65,2,-0.009234150948056533,0.051203445154443465,-0.07614418034555653,0.1273476255,-0.09050500403216577
66,0,0.004014494450440982,0.039056686222305514,-0.05264616520626591,0.09170285142857143,0.03775120228262911
66,1,-0.005571843095286971,0.05189045865087694,-0.0624448294919802,0.11433528814285715,-0.05575487984843097
66,2,0.00506716571871075,0.04217496322230551,-0.03389010577769448,0.07606506899999999,0.05185110937610679
67,0,-0.00877876040519854,0.019553705104646737,-0.04049012264535326,0.06004382775,-0.10680562030752383
67,1,-0.01276004906717597,0.06870518097964673,-0.12005492027035326,0.18876010124999998,-0.127569065698632
67,2,-0.023253051982205855,0.07119472722964673,-0.07556635577035327,0.14676108300000001,-0.23390329639950666
68,0,-0.003294519307624821,0.02624351969772579,-0.03522493580227421,0.061468455500000005,-0.03196387450493668
68,1,-0.00440289833401724,0.02172074169772579,-0.02564577180227421,0.0473665135,-0.044583312726442226
