participant_number,tutorial_number,feedback_score_tutorial,O2Hb_average_peak,O2Hb_highest_peak,O2Hb_lowest_peak,O2Hb_tutorial_difference_peak,O2Hb_auc,duration_fixation,duration_saccade,count_fixations,count_saccades
47,2,7,-0.0024168258076234,0.0154237020830792,-0.0161341394883493,0.0315578415714285,-0.0240681575194949,448.84615384613295,22.148936170212767,39,47
48,0,6,-0.0006234891473915,0.0424197430988049,-0.0826908914726236,0.1251106345714285,-0.005690640144367,364.9513274336306,23.95533498759305,226,403
48,1,5,0.0008916976352187,0.0491910725273763,-0.0446256056154807,0.0938166781428571,0.0093560235022172,717.9230769230769,22.1,13,30
48,2,7,-0.011337766524627,0.0404965155273763,-0.067221392901195,0.1077179084285714,-0.1141139739054925,641.133333333341,22.15,30,40
49,0,3,0.0006313224751908,0.0348038637579736,-0.0332043085545263,0.0680081723125,0.0051212344226183,577.8039215686298,22.11814345991561,102,237
49,1,1,0.0127269200169367,0.0446440689454736,-0.0318548108045263,0.07649887975,0.1275847338172263,606.3750000000218,22.33333333333333,16,30
49,2,5,-0.0208982169424536,0.0558977075704736,-0.1090473746795264,0.16494508225,-0.2107953167950549,862.8181818181712,22.20689655172414,22,29
50,0,4,0.0095337510788353,0.0712459256884805,-0.0391651654365194,0.110411091125,0.1117955705944484,314.1312741312791,23.21698113207547,259,212
50,1,2,0.0129463474004352,0.1554221969384805,-0.0893339843115194,0.2447561812499999,0.1321725420653302,986.3,22.125,10,16
50,2,8,-0.0054286876576376,0.0328049085634805,-0.0737212668115194,0.106526175375,-0.0546279517727213,1250.733333333279,22.16,15,25
51,0,5,-0.0018911010022048,0.1062758448106138,-0.0848561751893861,0.19113202,-0.0225978149014752,469.6544117647093,22.69402985074627,136,268
51,1,1,-0.0082139145884755,0.0277854750963281,-0.0286191372179575,0.0564046123142857,-0.0821681515721459,757.6923076923166,21.956521739130437,13,23
51,2,3,0.0031492086853605,0.0301381880963281,-0.0304022436179575,0.0605404317142857,0.0318970282457387,617.7666666667094,22.128205128205128,30,39
52,0,4,0.0867132324096402,0.1759280392632086,-0.0579029100367913,0.2338309493,0.6613358434648355,394.90909090908696,26.185873605947958,176,269
52,1,2,-0.012313741798567,0.1127104504917801,-0.1761213798939342,0.2888318303857143,-0.1223756049775653,549.0588235293844,22.214285714285715,17,28
52,2,6,-0.0398218027283331,0.0644557460832086,-0.1545155923225056,0.2189713384057143,-0.4000158997405294,858.7619047618992,21.97058823529412,21,34
53,0,6,0.0020644848965651,0.0458380268448072,-0.0330262884051928,0.07886431525,0.0155891139267402,289.48908296943256,22.90532544378698,229,338
53,1,4,0.000570708379085,0.0798558243448072,-0.1293441819051927,0.20920000625,0.007501050609721,295.4230769230814,365.13461538461536,26,52
53,2,7,-0.0423913228315872,0.0449392705948072,-0.2068852456551927,0.25182451625,-0.4236245087066765,420.1463414634104,24.4,41,50
54,0,8,-0.0111842155884583,0.1073480261951543,-0.1468877423762742,0.2542357685714285,-0.0920097900866379,386.8022598869978,22.295336787564768,177,193
54,1,4,-0.0208065136179305,0.0210260174808685,-0.0808772709477028,0.1019032884285714,-0.2077923501118289,1936.4000000000235,21.4,5,10
54,2,5,0.0281026655015379,0.0926685683380114,-0.1161746180905599,0.2088431864285714,0.2832485776019202,2012.5555555555427,22.291666666666668,9,24
56,0,2,-0.004309580613188,0.0996353795,-0.08756002425,0.18719540375,-0.0373050750270017,484.8522727272648,22.27810650887574,176,169
56,1,2,-0.0103481736048954,0.04420484825,-0.0594187317499999,0.1036235799999999,-0.1052935238406505,978.5000000000116,21.84210526315789,10,19
56,2,5,0.0125809370918575,0.0526637645,-0.0449833279999999,0.0976470924999999,0.1273932717972507,799.2142857142691,22.041666666666668,14,24
57,0,1,-0.0520824468736817,0.222315563014683,-0.2441318953186503,0.4664474583333333,-0.4401200754427484,419.8598726114594,22.849829351535835,157,293
57,1,1,-0.0687547573807685,0.0484399213480163,-0.2935536303186503,0.3419935516666667,-0.6907094273602026,403.4347826087058,22.121951219512194,23,41
57,2,4,-0.0445135930597658,0.0798276946813496,-0.1193954953186503,0.19922319,-0.4492373355406376,431.9047619047536,22.295081967213115,42,61
59,0,2,0.0005308463696747,0.0106438276789074,-0.0110162139460925,0.021660041625,0.0055569008769519,427.3767123287759,23.64968152866242,146,157
59,1,1,-0.0032869115993311,0.0273272236789074,-0.0220746451960925,0.049401868875,-0.0334038747514406,1365.8749999999927,24.11764705882353,16,17
59,2,7,0.0034582052421245,0.0391485299289074,-0.0187174313210925,0.05786596125,0.0354199989812742,1033.0000000000068,21.823529411764707,17,17
60,0,1,-0.0153469974235719,0.0518199871681757,-0.0593331540818242,0.11115314125,-0.1968848547815057,439.2073732718964,24.83539094650206,217,243
60,1,1,0.0165994668799386,0.0378148000431757,-0.0106559403318242,0.0484707403749999,0.1665235860646073,646.6666666666589,22.0625,15,16
60,2,6,0.0037071964370208,0.0720245321681757,-0.0353928585818242,0.1074173907499999,0.0364107373609571,1282.846153846163,22.09090909090909,13,22
61,0,3,0.016812788545065,0.1913342583494874,-0.1699745691505125,0.3613088275,0.1672426201215606,471.1293103448326,25.46875,232,320
61,1,1,-0.0225702355258462,0.1322738295994874,-0.1788577354005125,0.311131565,-0.2301954362884753,877.7272727272833,22.22222222222222,11,18
61,2,3,0.0066284152572842,0.0879400483494874,-0.0699407757755125,0.1578808241249999,0.0680596800616557,925.3157894736536,41.70588235294117,19,17
62,0,2,-0.0018565405886471,0.0600061563262785,-0.0353405212987214,0.095346677625,-0.0177505931552886,437.616766467069,22.43921568627451,167,255
62,1,1,0.0065964651514927,0.0556641232012785,-0.0529820355487214,0.10864615875,0.0673800003154364,450.09523809525473,21.666666666666668,21,15
62,2,3,-0.0153081125214804,0.1102861102012785,-0.1818921585487214,0.2921782687499999,-0.1530979934237154,626.6896551724018,24.105263157894736,29,38
65,0,6,0.0062691411994293,0.0562193530294434,-0.1082663634705565,0.1644857165,0.0427807710357804,456.3982300884822,22.074074074074076,113,243
65,1,1,-0.0078038450705779,0.0232894239044434,-0.0521087485955565,0.0753981725,-0.0784742558780307,1812.8571428571345,21.818181818181817,14,22
