participant_number,subexperiment_number,rest_time,time_subexperiment,accuracy_subexperiment,accuracy_total,answer_correct_subexperiment,answer_incorrect_subexperiment,feedback_score_subexperiment,trial_duration_1,trial_duration_2,trial_duration_3,trial_duration_4,trial_duration_mean,performance_subexperiment,feedback_score_tutorial_1,feedback_score_tutorial_2,feedback_score_tutorial_3,feedback_score_rest_1
28,6,300.0033000000001,63.488000000000056,75.0,84.375,3,1,6,20.575000000000045,16.519000000000005,11.911999999999807,16.83699999999999,16.460749999999962,4.556293000015199,4,2,6,3
28,7,300.0033000000001,72.56000000000017,100.0,84.375,4,0,6,17.5300000000002,15.755999999999858,19.125999999999976,23.042000000000144,18.863500000000045,5.301243141516673,4,2,6,3
28,8,300.0033000000001,75.49900000000002,100.0,84.375,4,0,7,18.529999999999973,20.462999999999965,21.24000000000001,15.266000000000076,18.874750000000006,5.29808341832342,4,2,6,3
29,1,300.0009,124.09399999999994,100.0,90.625,4,0,5,34.20399999999995,28.8420000000001,27.139999999999873,24.067999999999984,28.563499999999976,3.5009715195966913,2,2,6,3
29,2,300.0009,78.50099999999998,100.0,90.625,4,0,6,20.567000000000007,11.694999999999936,12.288000000000011,38.134000000000015,20.670999999999992,4.837695321948625,2,2,6,3
29,3,300.0009,110.10900000000015,100.0,90.625,4,0,6,32.10100000000011,31.394000000000005,32.08999999999992,17.662000000000035,28.311750000000018,3.5321023956484474,2,2,6,3
29,4,300.0009,104.36300000000006,100.0,90.625,4,0,6,33.184999999999945,18.28300000000013,27.35199999999986,38.11500000000001,29.233749999999986,3.42070380980887,2,2,6,3
29,5,300.0009,127.79099999999994,75.0,90.625,3,1,7,30.192999999999984,47.96600000000012,19.346000000000004,32.77299999999991,32.569500000000005,2.3027679270483117,2,2,6,3
29,6,300.0009,101.1880000000001,75.0,90.625,3,1,6,21.27500000000009,27.669999999999845,22.688000000000102,34.91399999999999,26.636750000000006,2.8156588172355854,2,2,6,3
29,7,300.0009,103.68599999999992,75.0,90.625,3,1,7,22.222999999999956,23.82400000000007,38.95100000000002,21.357999999999947,26.589,2.8207153334085526,2,2,6,3
29,8,300.0009,103.03700000000003,100.0,90.625,4,0,7,18.15599999999995,19.990999999999985,31.332000000000107,33.55799999999999,25.75925000000001,3.8821006046371673,2,2,6,3
30,1,300.0096000000001,146.03500000000008,75.0,84.375,3,1,4,44.875999999999976,28.49500000000012,29.676999999999907,25.876999999999953,32.23124999999999,2.32693426410704,4,2,6,1
30,2,300.0096000000001,89.07300000000009,75.0,84.375,3,1,5,18.34900000000016,23.15300000000002,22.05699999999979,28.2650000000001,22.956000000000017,3.2671197072660716,4,2,6,1
30,3,300.0096000000001,130.21800000000007,100.0,84.375,4,0,5,49.30099999999993,19.860000000000127,36.60299999999984,28.363000000000056,33.53174999999999,2.982248167781283,4,2,6,1
30,4,300.0096000000001,90.36200000000008,100.0,84.375,4,0,5,18.413999999999987,18.083000000000084,32.63799999999992,23.69600000000014,23.207750000000033,4.308905430298062,4,2,6,1
30,5,300.0096000000001,91.13400000000001,100.0,84.375,4,0,6,30.139999999999873,22.38499999999999,18.292000000000144,21.755999999999858,23.143249999999966,4.320914305467043,4,2,6,1
30,6,300.0096000000001,94.62800000000016,75.0,84.375,3,1,6,19.968000000000075,31.677999999999884,20.95400000000018,26.520999999999958,24.780250000000024,3.0266038478223556,4,2,6,1
30,7,300.0096000000001,142.89200000000005,50.0,84.375,2,2,7,35.277000000000044,28.176999999999907,46.28500000000008,34.68899999999985,36.10699999999997,1.3847730356994499,4,2,6,1
30,8,300.0096000000001,95.5440000000001,100.0,84.375,4,0,6,37.65000000000009,17.368999999999915,14.490999999999985,26.034000000000106,23.886000000000024,4.186552792430708,4,2,6,1
31,1,300.00569999999993,165.7059999999999,50.0,71.875,2,2,6,50.057000000000016,33.16899999999987,39.531999999999925,18.680000000000064,35.35949999999997,1.4140471443317932,3,4,8,1
31,2,300.00569999999993,93.20100000000002,100.0,71.875,4,0,4,30.260999999999967,23.723000000000184,18.965999999999894,45.82400000000007,29.69350000000003,3.367740414568842,3,4,8,1
31,3,300.00569999999993,93.96100000000001,75.0,71.875,3,1,5,27.102999999999838,38.889000000000124,12.910000000000082,19.798999999999978,24.675250000000005,3.039482882645565,3,4,8,1
31,4,300.00569999999993,110.29599999999982,100.0,71.875,4,0,4,44.91099999999983,22.85900000000015,32.27599999999984,14.855000000000018,28.72524999999996,3.481257778435354,3,4,8,1
31,5,300.00569999999993,100.25400000000013,75.0,71.875,3,1,5,26.399000000000115,33.88499999999999,16.791999999999916,26.60200000000009,25.919500000000028,2.893574335924687,3,4,8,1
31,6,300.00569999999993,84.39200000000005,50.0,71.875,2,2,5,20.176999999999907,29.08699999999999,19.34699999999998,18.951000000000022,21.890499999999975,2.2840958406614766,3,4,8,1
31,7,300.00569999999993,96.22900000000004,75.0,71.875,3,1,5,24.730000000000018,25.822000000000116,26.442999999999984,23.330999999999904,25.081500000000005,2.990251779199808,3,4,8,1
