S1-D1 [O2Hb],S1-D1 [HHb],S1-D1 [deltaHb],S2-D1 [O2Hb],S2-D1 [HHb],S2-D1 [deltaHb],S3-D1 [O2Hb],S3-D1 [HHb],S3-D1 [deltaHb],S4-D1 [O2Hb],S4-D1 [HHb],S4-D1 [deltaHb],S5-D2 [O2Hb],S5-D2 [HHb],S5-D2 [deltaHb],S6-D2 [O2Hb],S6-D2 [HHb],S6-D2 [deltaHb],S8-D2 [O2Hb],S8-D2 [HHb],S8-D2 [deltaHb],times_secs,stimulus1
0.008740845,-0.001284029,0.010024874,0.01183425,0.000946212,0.010888038,0.004804697,0.0004821464,0.0043225506,-0.03135077,-0.004071671,-0.027279099,-0.00392515,0.003132447,-0.007057597,-0.02377384,-0.0009246247,-0.0228492153,-0.002581331,-0.001450673,-0.001130658,810.0,LSL RunningTrial 0_A1_CI_NSI_R180x
0.008721719,-0.001292054,0.010013773,0.0121725,0.0007592461,0.0114132539,0.003898691,0.0005278103,0.0033708807000000004,-0.02974156,-0.004113985,-0.025627575,-0.004078745,0.003094752,-0.007173497,-0.02285574,-0.0009414945,-0.0219142455,-0.00250438,-0.001458391,-0.001045989,810.04,LSL RunningTrial 0_A1_CI_NSI_R180x
0.008641667,-0.001291215,0.009932882,0.01225134,0.0005242209,0.011727119099999999,0.002754531,0.0005748,0.0021797310000000003,-0.02797591,-0.004147939,-0.023827971,-0.004505951,0.003058342,-0.007564293,-0.02165661,-0.0009977847,-0.0206588253,-0.00254047,-0.00147661,-0.00106386,810.08,LSL RunningTrial 0_A1_CI_NSI_R180x
0.00850969,-0.00128281,0.0097925,0.0121353,0.0002511542,0.0118841458,0.001418167,0.0006224731,0.0007956938999999999,-0.02611574,-0.004176007,-0.021939733,-0.005151298,0.003022599,-0.008173897,-0.02024532,-0.001086926,-0.019158394000000002,-0.002669538,-0.001504531,-0.001165007,810.12,LSL RunningTrial 0_A1_CI_NSI_R180x
0.008335368,-0.001268261,0.009603628999999999,0.01188764,-4.971971e-05,0.01193735971,-6.304306e-05,0.0006702053,-0.00073324836,-0.02421995,-0.004200479,-0.020019471,-0.005958766,0.002986934,-0.008945700000000001,-0.0186899,-0.00120207,-0.01748783,-0.00287069,-0.001541115,-0.001329575,810.16,LSL RunningTrial 0_A1_CI_NSI_R180x
0.00812851,-0.001249054,0.009377564,0.01156842,-0.0003682796,0.0119366996,-0.001641755,0.0007173724,-0.0023591274,-0.02234269,-0.004223405,-0.018119285,-0.006873681,0.002950814,-0.009824495,-0.0170554,-0.001336315,-0.015719084999999997,-0.003122922,-0.00158515,-0.0015377720000000002,810.2,LSL RunningTrial 0_A1_CI_NSI_R180x
0.007898838,-0.001226685,0.009125523,0.01123274,-0.000694815,0.011927555,-0.003271944,0.0007633332,-0.0040352772,-0.02053192,-0.004246542,-0.016285378,-0.007844389,0.002913789,-0.010758178,-0.01540205,-0.001482916,-0.013919134,-0.003405799,-0.001635303,-0.001770496,810.24,LSL RunningTrial 0_A1_CI_NSI_R180x
0.007655687,-0.001202608,0.008858295,0.01092933,-0.001020287,0.011949617,-0.004910075,0.0008074193,-0.0057174943,-0.01882836,-0.004271325,-0.014557035,-0.008823677,0.002875507,-0.011699184,-0.0137837,-0.001635465,-0.012148235,-0.003700064,-0.001690175,-0.002009889,810.28,LSL RunningTrial 0_A1_CI_NSI_R180x
0.007407746,-0.001178186,0.008585932,0.01069946,-0.001336545,0.012036004999999999,-0.0065161,0.0008489296,-0.007365029600000001,-0.01726473,-0.004298846,-0.012965883999999999,-0.009769901,0.002835735,-0.012605636,-0.01224677,-0.001788047,-0.010458723,-0.003988157,-0.001748355,-0.002239802,810.32,LSL RunningTrial 0_A1_CI_NSI_R180x
0.007162839,-0.001154647,0.008317485999999999,0.01057619,-0.001636495,0.012212685,-0.008054294,0.0008871336,-0.0089414276,-0.01586545,-0.00432985,-0.0115356,-0.01064782,0.002794369,-0.013442189,-0.01082945,-0.001935356,-0.008894093999999998,-0.004254645,-0.001808462,-0.0024461829999999993,810.36,LSL RunningTrial 0_A1_CI_NSI_R180x
0.006927751,-0.001133047,0.008060798000000001,0.01058392,-0.001914221,0.012498141,-0.009493901,0.0009212812,-0.010415182200000001,-0.01464661,-0.004364742,-0.010281868,-0.01142913,0.002751446,-0.014180575999999999,-0.00956138,-0.002072788,-0.007488592,-0.004486544,-0.001869185,-0.0026173590000000005,810.4,LSL RunningTrial 0_A1_CI_NSI_R180x
0.006708109,-0.001114246,0.007822355,0.01073836,-0.002165058,0.012903418,-0.0108096,0.0009506211,-0.0117602211,-0.01361632,-0.004403599,-0.009212721,-0.01209269,0.002707144,-0.014799834,-0.008463644,-0.002196498,-0.0062671459999999995,-0.004673538,-0.001929318,-0.0027442199999999995,810.44,LSL RunningTrial 0_A1_CI_NSI_R180x
0.0065083,-0.001098886,0.007607186,0.01104669,-0.002385615,0.013432304999999999,-0.01198178,0.0009744249,-0.012956204899999999,-0.01277526,-0.004446207,-0.008329053,-0.01262448,0.002661782,-0.015286262,-0.007549065,-0.002303429,-0.005245636,-0.004808092,-0.001987784,-0.002820308,810.48,LSL RunningTrial 0_A1_CI_NSI_R180x
0.006331449,-0.001087381,0.00741883,0.01150808,-0.002573761,0.014081841000000001,-0.01299664,0.0009920163,-0.013988656300000001,-0.01211753,-0.004492085,-0.007625445,-0.01301734,0.002615811,-0.015633151,-0.006822784,-0.002391313,-0.004431471,-0.00488546,-0.002043657,-0.0028418030000000004,810.52,LSL RunningTrial 0_A1_CI_NSI_R180x
0.006179437,-0.00107992,0.007259357,0.01211446,-0.002728567,0.014843027,-0.01384612,0.001002803,-0.014848923,-0.01163163,-0.004540533,-0.007091097,-0.01327041,0.002569804,-0.015840214,-0.006283046,-0.002458648,-0.0038243979999999997,-0.004903603,-0.00209618,-0.0028074230000000003,810.56,LSL RunningTrial 0_A1_CI_NSI_R180x
